Country Name,Country Code,Year,GDP_Per_Capita,Female_Usage_Pct,Male_Usage_Pct,Internet_Usage_Pct,Region,Cost_1GB_USD,Affordability_Pct
Aruba,ABW,2000,20681.0230269625,,,15.4428,CARIBBEAN,,
Africa Eastern and Southern,AFE,2000,706.727260967009,,,,,,
Afghanistan,AFG,2000,174.930991430166,,,,ASIA (EX. NEAR EAST),,
Africa Western and Central,AFW,2000,518.969226054683,,,,,,
Angola,AGO,2000,563.733795571487,,,0.105046,SUB-SAHARAN AFRICA,,
Albania,ALB,2000,1160.42047054038,,,0.114097,EASTERN EUROPE,,
Andorra,AND,2000,21810.2503808666,26.9841,29.7574,10.5388,WESTERN EUROPE,,
Arab World,ARB,2000,2664.12520122649,,,,,,
United Arab Emirates,ARE,2000,29865.502347066,,,23.6253,NEAR EAST,,
Argentina,ARG,2000,7637.01489203628,,,7.03868,SOUTH AMERICA,,
Armenia,ARM,2000,593.450581742282,,,1.30047,CIS (FORMER USSR),,
Antigua and Barbuda,ATG,2000,12027.4949768222,,,6.48223,CARIBBEAN,,
Australia,AUS,2000,21908.9968019784,,,46.7561,OCEANIA,,
Austria,AUT,2000,24487.2974685956,,,33.7301,WESTERN EUROPE,,
Azerbaijan,AZE,2000,655.097249579917,,,0.147758,CIS (FORMER USSR),,
Burundi,BDI,2000,134.537861752389,,,0.0772484,SUB-SAHARAN AFRICA,,
Belgium,BEL,2000,23098.8865077401,,,29.4317,WESTERN EUROPE,,
Benin,BEN,2000,487.424141384242,,,0.225248,SUB-SAHARAN AFRICA,,
Burkina Faso,BFA,2000,248.908526921752,,,0.0770802,SUB-SAHARAN AFRICA,,
Bangladesh,BGD,2000,396.670730249751,,,0.0710394,ASIA (EX. NEAR EAST),,
Bulgaria,BGR,2000,1621.26210738992,,,5.37092,EASTERN EUROPE,,
Bahrain,BHR,2000,14214.4836839343,,,6.15373,NEAR EAST,,
Bahamas,BHS,2000,24940.0775086078,,,8.0,CARIBBEAN,,
Bosnia and Herzegovina,BIH,2000,1338.48059636261,,,1.08296,EASTERN EUROPE,,
Belarus,BLR,2000,1276.2880341,,,1.8604,CIS (FORMER USSR),,
Belize,BLZ,2000,4726.50675459616,,,5.96384,CENTRAL AMERICA,,
